финики сушеные;;2.00;;0.50;;72.30;;306.00;;103.00
фисташки;;20.50;;48.51;;25.00;;610.00;;0.00
фундук;;16.10;;66.90;;9.90;;707.00;;0.00
хлеб белково отрубной;;23.50;;3.40;;11.30;;216.00;;85.00
хлеб пшеничный подовый;;8.70;;1.50;;38.40;;209.00;;99.00
хлеб ржаной подовый;;6.10;;1.20;;41.90;;206.00;;92.00
хрен;;2.50;;0.40;;7.60;;44.00;;0.00
цыплята отварные;;24.60;;5.00;;0.00;;143.00;;0.00
цыплята табака;;25.00;;21.00;;0.20;;271.00;;0.00
чай черный;;20.00;;5.10;;4.00;;146.00;;0.00
чебуреки;;8.90;;13.50;;26.20;;264.00;;85.00
черешня;;1.10;;0.40;;10.60;;53.00;;37.00
черника;;1.10;;0.60;;8.00;;44.00;;46.00
чернослив;;2.30;;0.00;;58.40;;242.00;;46.00
чеснок;;6.50;;0.00;;5.20;;46.00;;0.00
чечевица;;24.00;;1.50;;42.70;;284.00;;36.00
шампиньоны;;4.30;;1.00;;0.10;;27.00;;0.00
шарлотка;;3.50;;6.00;;30.73;;186.00;;95.00
шелковица;;0.70;;0.00;;12.00;;50.00;;35.00
шерри;;0.00;;0.00;;0.10;;152.00;;0.00
шиповник сушеный;;3.40;;0.00;;21.50;;110.00;;16.00
шоколад молочный;;6.90;;35.70;;52.60;;550.00;;75.00
шоколад черный;;6.90;;33.65;;50.20;;520.00;;70.00
шоколадное мороженное;;4.20;;3.50;;23.00;;138.00;;86.00
шпик свиной;;1.40;;90.00;;0.00;;816.00;;0.00
шпинат;;2.90;;0.30;;2.00;;22.00;;0.00
щавель;;1.50;;0.00;;3.00;;19.00;;0.00
щука;;21.30;;1.30;;0.00;;97.00;;0.00
яблоки;;0.20;;0.36;;8.00;;37.00;;54.00
яблоки сушеные;;2.28;;0.00;;60.30;;259.00;;27.00
язык говяжий;;12.20;;10.90;;0.00;;146.00;;0.00
яичница-глазунья;;12.90;;20.90;;0.90;;243.00;;51.00
яичный порошок;;46.00;;37.40;;4.50;;542.00;;53.00
яйца куриные вареные вкрутую;;12.90;;11.60;;0.80;;160.00;;49.00
яйца куриные вареные всмятку;;12.80;;11.60;;0.80;;159.00;;48.00
яйца куриные сырые;;12.70;;11.50;;0.70;;157.00;;47.00
